modelo,split,alvo_delta,MAE,RMSE,corr,configuracao,grupo_removido,n_features,semente,melhor_epoca,MAE_referencia,delta_MAE,delta_MAE_pct
MLP,teste,delta_depth_p90_m,0.9121796639742666,1.6095972189296643,-0.09485165843125276,Sem IMU e atitude,IMU e atitude,32,42,41,0.923135912076798,-0.010956248102531374,-1.1868510323558832
MLP,teste,delta_depth_close_2m_pp,1.1612199746961507,1.7574001493489044,-0.10281473588831189,Sem IMU e atitude,IMU e atitude,32,42,41,1.0490709682790305,0.11214900641712022,10.690316461725875
MLP,teste,delta_depth_close_5m_pp,1.9403029156500782,2.973088208445204,0.005517780366992965,Sem IMU e atitude,IMU e atitude,32,42,41,1.8219351858622643,0.11836772978781385,6.496813427081059
MLP,teste,delta_depth_close_10m_pp,0.8885381169624297,1.2390336903019254,0.10058516586233654,Sem IMU e atitude,IMU e atitude,32,42,41,0.8544717183210602,0.03406639864136951,3.986837470560888
MLP,validacao,delta_depth_p10_m,0.06260237527792135,0.0935128929781974,0.3077662221317737,Sem IMU e atitude,IMU e atitude,32,84,56,0.06367303980569178,-0.0010706645277704235,-1.6815037118342764
MLP,validacao,delta_depth_p50_m,0.21673762872815133,0.30369074061012336,0.26369250412901934,Sem IMU e atitude,IMU e atitude,32,84,56,0.2013256567365983,0.01541197199155303,7.655244861173892
MLP,validacao,delta_depth_p90_m,1.1847240181970846,3.304047513846299,-0.012345980837177794,Sem IMU e atitude,IMU e atitude,32,84,56,1.1526313451175905,0.03209267307949415,2.7842964027861035
MLP,validacao,delta_depth_close_2m_pp,1.2678137502670699,1.7758461633953384,0.49247203924373373,Sem IMU e atitude,IMU e atitude,32,84,56,1.120390941079035,0.14742280918803496,13.158157905672981
MLP,validacao,delta_depth_close_5m_pp,1.4450476468056235,1.900935800933477,0.4228210105330737,Sem IMU e atitude,IMU e atitude,32,84,56,1.3509588505785146,0.09408879622710886,6.964593791055713
MLP,validacao,delta_depth_close_10m_pp,0.9182714680253412,1.240693231927321,0.415837237028836,Sem IMU e atitude,IMU e atitude,32,84,56,0.8709211434408002,0.047350324584541026,5.4368096286503365
MLP,teste,delta_depth_p10_m,0.09477696596927418,0.24135557358264326,-0.0406568080298275,Sem IMU e atitude,IMU e atitude,32,84,56,0.09112127768098484,0.003655688288289341,4.011893139918306
MLP,teste,delta_depth_p50_m,0.19644713017376178,0.2782014541881603,0.11645313032470084,Sem IMU e atitude,IMU e atitude,32,84,56,0.1751227571153419,0.021324373058419888,12.176814372774476
MLP,teste,delta_depth_p90_m,0.942370733683384,1.6423328751820798,-0.24011941305727783,Sem IMU e atitude,IMU e atitude,32,84,56,0.9258965420762096,0.016474191607174338,1.779269157894572
MLP,teste,delta_depth_close_2m_pp,1.187001915364972,1.774712325180077,-0.1255272345838391,Sem IMU e atitude,IMU e atitude,32,84,56,1.0586362442217192,0.1283656711432528,12.125569273100393
